district_gadm,state_gadm,year,q,quarter,quarter_num
Gomati,Tripura,2022,1,2022Q1,29
Gomati,Tripura,2022,2,2022Q2,30
Gomati,Tripura,2022,3,2022Q3,31
Gomati,Tripura,2022,4,2022Q4,32
Gomati,Tripura,2023,1,2023Q1,33
Gomati,Tripura,2023,2,2023Q2,34
Gomati,Tripura,2023,3,2023Q3,35
Gomati,Tripura,2023,4,2023Q4,36
Gomati,Tripura,2024,1,2024Q1,37
Gomati,Tripura,2024,2,2024Q2,38
Gomati,Tripura,2024,3,2024Q3,39
Gomati,Tripura,2024,4,2024Q4,40
Khowai,Tripura,2015,1,2015Q1,1
Khowai,Tripura,2015,2,2015Q2,2
Khowai,Tripura,2015,3,2015Q3,3
Khowai,Tripura,2015,4,2015Q4,4
Khowai,Tripura,2016,1,2016Q1,5
Khowai,Tripura,2016,2,2016Q2,6
Khowai,Tripura,2016,3,2016Q3,7
Khowai,Tripura,2016,4,2016Q4,8
Khowai,Tripura,2017,1,2017Q1,9
Khowai,Tripura,2017,2,2017Q2,10
Khowai,Tripura,2017,3,2017Q3,11
Khowai,Tripura,2017,4,2017Q4,12
Khowai,Tripura,2018,1,2018Q1,13
Khowai,Tripura,2018,2,2018Q2,14
Khowai,Tripura,2018,3,2018Q3,15
Khowai,Tripura,2018,4,2018Q4,16
Khowai,Tripura,2019,1,2019Q1,17
Khowai,Tripura,2019,2,2019Q2,18
Khowai,Tripura,2019,3,2019Q3,19
Khowai,Tripura,2019,4,2019Q4,20
Khowai,Tripura,2020,1,2020Q1,21
Khowai,Tripura,2020,2,2020Q2,22
Khowai,Tripura,2020,3,2020Q3,23
Khowai,Tripura,2020,4,2020Q4,24
Khowai,Tripura,2021,1,2021Q1,25
Khowai,Tripura,2021,2,2021Q2,26
Khowai,Tripura,2021,3,2021Q3,27
Khowai,Tripura,2021,4,2021Q4,28
Khowai,Tripura,2022,1,2022Q1,29
Khowai,Tripura,2022,2,2022Q2,30
Khowai,Tripura,2022,3,2022Q3,31
Khowai,Tripura,2022,4,2022Q4,32
Khowai,Tripura,2023,1,2023Q1,33
Khowai,Tripura,2023,2,2023Q2,34
Khowai,Tripura,2023,3,2023Q3,35
Khowai,Tripura,2023,4,2023Q4,36
Khowai,Tripura,2024,1,2024Q1,37
Khowai,Tripura,2024,2,2024Q2,38
Khowai,Tripura,2024,3,2024Q3,39
Khowai,Tripura,2024,4,2024Q4,40
North Tripura,Tripura,2015,1,2015Q1,1
North Tripura,Tripura,2015,2,2015Q2,2
North Tripura,Tripura,2015,3,2015Q3,3
North Tripura,Tripura,2015,4,2015Q4,4
North Tripura,Tripura,2016,1,2016Q1,5
North Tripura,Tripura,2016,2,2016Q2,6
North Tripura,Tripura,2016,3,2016Q3,7
North Tripura,Tripura,2016,4,2016Q4,8
North Tripura,Tripura,2017,1,2017Q1,9
North Tripura,Tripura,2017,2,2017Q2,10
North Tripura,Tripura,2017,3,2017Q3,11
North Tripura,Tripura,2017,4,2017Q4,12
North Tripura,Tripura,2018,1,2018Q1,13
North Tripura,Tripura,2018,2,2018Q2,14
North Tripura,Tripura,2018,3,2018Q3,15
North Tripura,Tripura,2018,4,2018Q4,16
North Tripura,Tripura,2019,1,2019Q1,17
North Tripura,Tripura,2019,2,2019Q2,18
North Tripura,Tripura,2019,3,2019Q3,19
North Tripura,Tripura,2019,4,2019Q4,20
North Tripura,Tripura,2020,1,2020Q1,21
North Tripura,Tripura,2020,2,2020Q2,22
North Tripura,Tripura,2020,3,2020Q3,23
North Tripura,Tripura,2020,4,2020Q4,24
North Tripura,Tripura,2021,1,2021Q1,25
North Tripura,Tripura,2021,2,2021Q2,26
North Tripura,Tripura,2021,3,2021Q3,27
North Tripura,Tripura,2021,4,2021Q4,28
North Tripura,Tripura,2022,1,2022Q1,29
North Tripura,Tripura,2022,2,2022Q2,30
North Tripura,Tripura,2022,3,2022Q3,31
North Tripura,Tripura,2022,4,2022Q4,32
North Tripura,Tripura,2023,1,2023Q1,33
North Tripura,Tripura,2023,2,2023Q2,34
North Tripura,Tripura,2023,3,2023Q3,35
North Tripura,Tripura,2023,4,2023Q4,36
North Tripura,Tripura,2024,1,2024Q1,37
North Tripura,Tripura,2024,2,2024Q2,38
North Tripura,Tripura,2024,3,2024Q3,39
North Tripura,Tripura,2024,4,2024Q4,40
Sipahijala,Tripura,2015,1,2015Q1,1
Sipahijala,Tripura,2015,2,2015Q2,2
Sipahijala,Tripura,2015,3,2015Q3,3
Sipahijala,Tripura,2015,4,2015Q4,4
Sipahijala,Tripura,2016,1,2016Q1,5
Sipahijala,Tripura,2016,2,2016Q2,6
Sipahijala,Tripura,2016,3,2016Q3,7
Sipahijala,Tripura,2016,4,2016Q4,8
Sipahijala,Tripura,2017,1,2017Q1,9
Sipahijala,Tripura,2017,2,2017Q2,10
Sipahijala,Tripura,2017,3,2017Q3,11
Sipahijala,Tripura,2017,4,2017Q4,12
Sipahijala,Tripura,2018,1,2018Q1,13
Sipahijala,Tripura,2018,2,2018Q2,14
Sipahijala,Tripura,2018,3,2018Q3,15
Sipahijala,Tripura,2018,4,2018Q4,16
Sipahijala,Tripura,2019,1,2019Q1,17
Sipahijala,Tripura,2019,2,2019Q2,18
Sipahijala,Tripura,2019,3,2019Q3,19
Sipahijala,Tripura,2019,4,2019Q4,20
Sipahijala,Tripura,2020,1,2020Q1,21
Sipahijala,Tripura,2020,2,2020Q2,22
Sipahijala,Tripura,2020,3,2020Q3,23
Sipahijala,Tripura,2020,4,2020Q4,24
Sipahijala,Tripura,2021,1,2021Q1,25
Sipahijala,Tripura,2021,2,2021Q2,26
Sipahijala,Tripura,2021,3,2021Q3,27
Sipahijala,Tripura,2021,4,2021Q4,28
Sipahijala,Tripura,2022,1,2022Q1,29
Sipahijala,Tripura,2022,2,2022Q2,30
Sipahijala,Tripura,2022,3,2022Q3,31
Sipahijala,Tripura,2022,4,2022Q4,32
Sipahijala,Tripura,2023,1,2023Q1,33
Sipahijala,Tripura,2023,2,2023Q2,34
Sipahijala,Tripura,2023,3,2023Q3,35
Sipahijala,Tripura,2023,4,2023Q4,36
Sipahijala,Tripura,2024,1,2024Q1,37
Sipahijala,Tripura,2024,2,2024Q2,38
Sipahijala,Tripura,2024,3,2024Q3,39
Sipahijala,Tripura,2024,4,2024Q4,40
South Tripura,Tripura,2015,1,2015Q1,1
South Tripura,Tripura,2015,2,2015Q2,2
South Tripura,Tripura,2015,3,2015Q3,3
South Tripura,Tripura,2015,4,2015Q4,4
South Tripura,Tripura,2016,1,2016Q1,5
South Tripura,Tripura,2016,2,2016Q2,6
South Tripura,Tripura,2016,3,2016Q3,7
South Tripura,Tripura,2016,4,2016Q4,8
South Tripura,Tripura,2017,1,2017Q1,9
South Tripura,Tripura,2017,2,2017Q2,10
South Tripura,Tripura,2017,3,2017Q3,11
South Tripura,Tripura,2017,4,2017Q4,12
South Tripura,Tripura,2018,1,2018Q1,13
South Tripura,Tripura,2018,2,2018Q2,14
South Tripura,Tripura,2018,3,2018Q3,15
South Tripura,Tripura,2018,4,2018Q4,16
South Tripura,Tripura,2019,1,2019Q1,17
South Tripura,Tripura,2019,2,2019Q2,18
South Tripura,Tripura,2019,3,2019Q3,19
South Tripura,Tripura,2019,4,2019Q4,20
South Tripura,Tripura,2020,1,2020Q1,21
South Tripura,Tripura,2020,2,2020Q2,22
South Tripura,Tripura,2020,3,2020Q3,23
South Tripura,Tripura,2020,4,2020Q4,24
South Tripura,Tripura,2021,1,2021Q1,25
South Tripura,Tripura,2021,2,2021Q2,26
South Tripura,Tripura,2021,3,2021Q3,27
South Tripura,Tripura,2021,4,2021Q4,28
South Tripura,Tripura,2022,1,2022Q1,29
South Tripura,Tripura,2022,2,2022Q2,30
South Tripura,Tripura,2022,3,2022Q3,31
South Tripura,Tripura,2022,4,2022Q4,32
South Tripura,Tripura,2023,1,2023Q1,33
South Tripura,Tripura,2023,2,2023Q2,34
South Tripura,Tripura,2023,3,2023Q3,35
South Tripura,Tripura,2023,4,2023Q4,36
South Tripura,Tripura,2024,1,2024Q1,37
South Tripura,Tripura,2024,2,2024Q2,38
South Tripura,Tripura,2024,3,2024Q3,39
South Tripura,Tripura,2024,4,2024Q4,40
Unokoti,Tripura,2015,1,2015Q1,1
Unokoti,Tripura,2015,2,2015Q2,2
Unokoti,Tripura,2015,3,2015Q3,3
Unokoti,Tripura,2015,4,2015Q4,4
Unokoti,Tripura,2016,1,2016Q1,5
Unokoti,Tripura,2016,2,2016Q2,6
Unokoti,Tripura,2016,3,2016Q3,7
Unokoti,Tripura,2016,4,2016Q4,8
Unokoti,Tripura,2017,1,2017Q1,9
Unokoti,Tripura,2017,2,2017Q2,10
Unokoti,Tripura,2017,3,2017Q3,11
Unokoti,Tripura,2017,4,2017Q4,12
Unokoti,Tripura,2018,1,2018Q1,13
Unokoti,Tripura,2018,2,2018Q2,14
Unokoti,Tripura,2018,3,2018Q3,15
Unokoti,Tripura,2018,4,2018Q4,16
Unokoti,Tripura,2019,1,2019Q1,17
Unokoti,Tripura,2019,2,2019Q2,18
Unokoti,Tripura,2019,3,2019Q3,19
Unokoti,Tripura,2019,4,2019Q4,20
Unokoti,Tripura,2020,1,2020Q1,21
Unokoti,Tripura,2020,2,2020Q2,22
Unokoti,Tripura,2020,3,2020Q3,23
Unokoti,Tripura,2020,4,2020Q4,24
Unokoti,Tripura,2021,1,2021Q1,25
Unokoti,Tripura,2021,2,2021Q2,26
Unokoti,Tripura,2021,3,2021Q3,27
Unokoti,Tripura,2021,4,2021Q4,28
Unokoti,Tripura,2022,1,2022Q1,29
Unokoti,Tripura,2022,2,2022Q2,30
Unokoti,Tripura,2022,3,2022Q3,31
Unokoti,Tripura,2022,4,2022Q4,32
Unokoti,Tripura,2023,1,2023Q1,33
Unokoti,Tripura,2023,2,2023Q2,34
Unokoti,Tripura,2023,3,2023Q3,35
Unokoti,Tripura,2023,4,2023Q4,36
Unokoti,Tripura,2024,1,2024Q1,37
Unokoti,Tripura,2024,2,2024Q2,38
Unokoti,Tripura,2024,3,2024Q3,39
Unokoti,Tripura,2024,4,2024Q4,40
West Tripura,Tripura,2015,1,2015Q1,1
West Tripura,Tripura,2015,2,2015Q2,2
West Tripura,Tripura,2015,3,2015Q3,3
West Tripura,Tripura,2015,4,2015Q4,4
West Tripura,Tripura,2016,1,2016Q1,5
West Tripura,Tripura,2016,2,2016Q2,6
West Tripura,Tripura,2016,3,2016Q3,7
West Tripura,Tripura,2016,4,2016Q4,8
West Tripura,Tripura,2017,1,2017Q1,9
West Tripura,Tripura,2017,2,2017Q2,10
West Tripura,Tripura,2017,3,2017Q3,11
West Tripura,Tripura,2017,4,2017Q4,12
West Tripura,Tripura,2018,1,2018Q1,13
West Tripura,Tripura,2018,2,2018Q2,14
West Tripura,Tripura,2018,3,2018Q3,15
West Tripura,Tripura,2018,4,2018Q4,16
West Tripura,Tripura,2019,1,2019Q1,17
West Tripura,Tripura,2019,2,2019Q2,18
West Tripura,Tripura,2019,3,2019Q3,19
West Tripura,Tripura,2019,4,2019Q4,20
West Tripura,Tripura,2020,1,2020Q1,21
West Tripura,Tripura,2020,2,2020Q2,22
West Tripura,Tripura,2020,3,2020Q3,23
West Tripura,Tripura,2020,4,2020Q4,24
West Tripura,Tripura,2021,1,2021Q1,25
West Tripura,Tripura,2021,2,2021Q2,26
West Tripura,Tripura,2021,3,2021Q3,27
West Tripura,Tripura,2021,4,2021Q4,28
West Tripura,Tripura,2022,1,2022Q1,29
West Tripura,Tripura,2022,2,2022Q2,30
West Tripura,Tripura,2022,3,2022Q3,31
West Tripura,Tripura,2022,4,2022Q4,32
West Tripura,Tripura,2023,1,2023Q1,33
West Tripura,Tripura,2023,2,2023Q2,34
West Tripura,Tripura,2023,3,2023Q3,35
West Tripura,Tripura,2023,4,2023Q4,36
West Tripura,Tripura,2024,1,2024Q1,37
West Tripura,Tripura,2024,2,2024Q2,38
West Tripura,Tripura,2024,3,2024Q3,39
West Tripura,Tripura,2024,4,2024Q4,40
Agra,Uttar Pradesh,2015,1,2015Q1,1
Agra,Uttar Pradesh,2015,2,2015Q2,2
Agra,Uttar Pradesh,2015,3,2015Q3,3
Agra,Uttar Pradesh,2015,4,2015Q4,4
Agra,Uttar Pradesh,2016,1,2016Q1,5
Agra,Uttar Pradesh,2016,2,2016Q2,6
Agra,Uttar Pradesh,2016,3,2016Q3,7
Agra,Uttar Pradesh,2016,4,2016Q4,8
Agra,Uttar Pradesh,2017,1,2017Q1,9
Agra,Uttar Pradesh,2017,2,2017Q2,10
Agra,Uttar Pradesh,2017,3,2017Q3,11
Agra,Uttar Pradesh,2017,4,2017Q4,12
Agra,Uttar Pradesh,2018,1,2018Q1,13
Agra,Uttar Pradesh,2018,2,2018Q2,14
Agra,Uttar Pradesh,2018,3,2018Q3,15
Agra,Uttar Pradesh,2018,4,2018Q4,16
Agra,Uttar Pradesh,2019,1,2019Q1,17
Agra,Uttar Pradesh,2019,2,2019Q2,18
Agra,Uttar Pradesh,2019,3,2019Q3,19
Agra,Uttar Pradesh,2019,4,2019Q4,20
Agra,Uttar Pradesh,2020,1,2020Q1,21
Agra,Uttar Pradesh,2020,2,2020Q2,22
Agra,Uttar Pradesh,2020,3,2020Q3,23
Agra,Uttar Pradesh,2020,4,2020Q4,24
Agra,Uttar Pradesh,2021,1,2021Q1,25
Agra,Uttar Pradesh,2021,2,2021Q2,26
Agra,Uttar Pradesh,2021,3,2021Q3,27
Agra,Uttar Pradesh,2021,4,2021Q4,28
Agra,Uttar Pradesh,2022,1,2022Q1,29
Agra,Uttar Pradesh,2022,2,2022Q2,30
Agra,Uttar Pradesh,2022,3,2022Q3,31
Agra,Uttar Pradesh,2022,4,2022Q4,32
Agra,Uttar Pradesh,2023,1,2023Q1,33
Agra,Uttar Pradesh,2023,2,2023Q2,34
Agra,Uttar Pradesh,2023,3,2023Q3,35
Agra,Uttar Pradesh,2023,4,2023Q4,36
Agra,Uttar Pradesh,2024,1,2024Q1,37
Agra,Uttar Pradesh,2024,2,2024Q2,38
Agra,Uttar Pradesh,2024,3,2024Q3,39
Agra,Uttar Pradesh,2024,4,2024Q4,40
Aligarh,Uttar Pradesh,2015,1,2015Q1,1
Aligarh,Uttar Pradesh,2015,2,2015Q2,2
Aligarh,Uttar Pradesh,2015,3,2015Q3,3
Aligarh,Uttar Pradesh,2015,4,2015Q4,4
Aligarh,Uttar Pradesh,2016,1,2016Q1,5
Aligarh,Uttar Pradesh,2016,2,2016Q2,6
Aligarh,Uttar Pradesh,2016,3,2016Q3,7
Aligarh,Uttar Pradesh,2016,4,2016Q4,8
Aligarh,Uttar Pradesh,2017,1,2017Q1,9
Aligarh,Uttar Pradesh,2017,2,2017Q2,10
Aligarh,Uttar Pradesh,2017,3,2017Q3,11
Aligarh,Uttar Pradesh,2017,4,2017Q4,12
Aligarh,Uttar Pradesh,2018,1,2018Q1,13
Aligarh,Uttar Pradesh,2018,2,2018Q2,14
Aligarh,Uttar Pradesh,2018,3,2018Q3,15
Aligarh,Uttar Pradesh,2018,4,2018Q4,16
Aligarh,Uttar Pradesh,2019,1,2019Q1,17
Aligarh,Uttar Pradesh,2019,2,2019Q2,18
Aligarh,Uttar Pradesh,2019,3,2019Q3,19
Aligarh,Uttar Pradesh,2019,4,2019Q4,20
Aligarh,Uttar Pradesh,2020,1,2020Q1,21
Aligarh,Uttar Pradesh,2020,2,2020Q2,22
Aligarh,Uttar Pradesh,2020,3,2020Q3,23
Aligarh,Uttar Pradesh,2020,4,2020Q4,24
Aligarh,Uttar Pradesh,2021,1,2021Q1,25
Aligarh,Uttar Pradesh,2021,2,2021Q2,26
Aligarh,Uttar Pradesh,2021,3,2021Q3,27
Aligarh,Uttar Pradesh,2021,4,2021Q4,28
Aligarh,Uttar Pradesh,2022,1,2022Q1,29
Aligarh,Uttar Pradesh,2022,2,2022Q2,30
Aligarh,Uttar Pradesh,2022,3,2022Q3,31
Aligarh,Uttar Pradesh,2022,4,2022Q4,32
Aligarh,Uttar Pradesh,2023,1,2023Q1,33
Aligarh,Uttar Pradesh,2023,2,2023Q2,34
Aligarh,Uttar Pradesh,2023,3,2023Q3,35
Aligarh,Uttar Pradesh,2023,4,2023Q4,36
Aligarh,Uttar Pradesh,2024,1,2024Q1,37
Aligarh,Uttar Pradesh,2024,2,2024Q2,38
Aligarh,Uttar Pradesh,2024,3,2024Q3,39
Aligarh,Uttar Pradesh,2024,4,2024Q4,40
Allahabad,Uttar Pradesh,2015,1,2015Q1,1
Allahabad,Uttar Pradesh,2015,2,2015Q2,2
Allahabad,Uttar Pradesh,2015,3,2015Q3,3
Allahabad,Uttar Pradesh,2015,4,2015Q4,4
Allahabad,Uttar Pradesh,2016,1,2016Q1,5
Allahabad,Uttar Pradesh,2016,2,2016Q2,6
Allahabad,Uttar Pradesh,2016,3,2016Q3,7
Allahabad,Uttar Pradesh,2016,4,2016Q4,8
Allahabad,Uttar Pradesh,2017,1,2017Q1,9
Allahabad,Uttar Pradesh,2017,2,2017Q2,10
Allahabad,Uttar Pradesh,2017,3,2017Q3,11
Allahabad,Uttar Pradesh,2017,4,2017Q4,12
Allahabad,Uttar Pradesh,2018,1,2018Q1,13
Allahabad,Uttar Pradesh,2018,2,2018Q2,14
Allahabad,Uttar Pradesh,2018,3,2018Q3,15
Allahabad,Uttar Pradesh,2018,4,2018Q4,16
Allahabad,Uttar Pradesh,2019,1,2019Q1,17
Allahabad,Uttar Pradesh,2019,2,2019Q2,18
Allahabad,Uttar Pradesh,2019,3,2019Q3,19
Allahabad,Uttar Pradesh,2019,4,2019Q4,20
Allahabad,Uttar Pradesh,2020,1,2020Q1,21
Allahabad,Uttar Pradesh,2020,2,2020Q2,22
Allahabad,Uttar Pradesh,2020,3,2020Q3,23
Allahabad,Uttar Pradesh,2020,4,2020Q4,24
Allahabad,Uttar Pradesh,2021,1,2021Q1,25
Allahabad,Uttar Pradesh,2021,2,2021Q2,26
Allahabad,Uttar Pradesh,2021,3,2021Q3,27
Allahabad,Uttar Pradesh,2021,4,2021Q4,28
Allahabad,Uttar Pradesh,2022,1,2022Q1,29
Allahabad,Uttar Pradesh,2022,2,2022Q2,30
Allahabad,Uttar Pradesh,2022,3,2022Q3,31
Allahabad,Uttar Pradesh,2022,4,2022Q4,32
Allahabad,Uttar Pradesh,2023,1,2023Q1,33
Allahabad,Uttar Pradesh,2023,2,2023Q2,34
Allahabad,Uttar Pradesh,2023,3,2023Q3,35
Allahabad,Uttar Pradesh,2023,4,2023Q4,36
Allahabad,Uttar Pradesh,2024,1,2024Q1,37
Allahabad,Uttar Pradesh,2024,2,2024Q2,38
Allahabad,Uttar Pradesh,2024,3,2024Q3,39
Allahabad,Uttar Pradesh,2024,4,2024Q4,40
Ambedkar Nagar,Uttar Pradesh,2015,1,2015Q1,1
Ambedkar Nagar,Uttar Pradesh,2015,2,2015Q2,2
Ambedkar Nagar,Uttar Pradesh,2015,3,2015Q3,3
Ambedkar Nagar,Uttar Pradesh,2015,4,2015Q4,4
Ambedkar Nagar,Uttar Pradesh,2016,1,2016Q1,5
Ambedkar Nagar,Uttar Pradesh,2016,2,2016Q2,6
Ambedkar Nagar,Uttar Pradesh,2016,3,2016Q3,7
Ambedkar Nagar,Uttar Pradesh,2016,4,2016Q4,8
Ambedkar Nagar,Uttar Pradesh,2017,1,2017Q1,9
Ambedkar Nagar,Uttar Pradesh,2017,2,2017Q2,10
Ambedkar Nagar,Uttar Pradesh,2017,3,2017Q3,11
Ambedkar Nagar,Uttar Pradesh,2017,4,2017Q4,12
Ambedkar Nagar,Uttar Pradesh,2018,1,2018Q1,13
Ambedkar Nagar,Uttar Pradesh,2018,2,2018Q2,14
Ambedkar Nagar,Uttar Pradesh,2018,3,2018Q3,15
Ambedkar Nagar,Uttar Pradesh,2018,4,2018Q4,16
Ambedkar Nagar,Uttar Pradesh,2019,1,2019Q1,17
Ambedkar Nagar,Uttar Pradesh,2019,2,2019Q2,18
Ambedkar Nagar,Uttar Pradesh,2019,3,2019Q3,19
Ambedkar Nagar,Uttar Pradesh,2019,4,2019Q4,20
Ambedkar Nagar,Uttar Pradesh,2020,1,2020Q1,21
Ambedkar Nagar,Uttar Pradesh,2020,2,2020Q2,22
Ambedkar Nagar,Uttar Pradesh,2020,3,2020Q3,23
Ambedkar Nagar,Uttar Pradesh,2020,4,2020Q4,24
Ambedkar Nagar,Uttar Pradesh,2021,1,2021Q1,25
Ambedkar Nagar,Uttar Pradesh,2021,2,2021Q2,26
Ambedkar Nagar,Uttar Pradesh,2021,3,2021Q3,27
Ambedkar Nagar,Uttar Pradesh,2021,4,2021Q4,28
Ambedkar Nagar,Uttar Pradesh,2022,1,2022Q1,29
Ambedkar Nagar,Uttar Pradesh,2022,2,2022Q2,30
Ambedkar Nagar,Uttar Pradesh,2022,3,2022Q3,31
Ambedkar Nagar,Uttar Pradesh,2022,4,2022Q4,32
Ambedkar Nagar,Uttar Pradesh,2023,1,2023Q1,33
Ambedkar Nagar,Uttar Pradesh,2023,2,2023Q2,34
Ambedkar Nagar,Uttar Pradesh,2023,3,2023Q3,35
Ambedkar Nagar,Uttar Pradesh,2023,4,2023Q4,36
Ambedkar Nagar,Uttar Pradesh,2024,1,2024Q1,37
Ambedkar Nagar,Uttar Pradesh,2024,2,2024Q2,38
Ambedkar Nagar,Uttar Pradesh,2024,3,2024Q3,39
Ambedkar Nagar,Uttar Pradesh,2024,4,2024Q4,40
Amethi,Uttar Pradesh,2015,1,2015Q1,1
Amethi,Uttar Pradesh,2015,2,2015Q2,2
Amethi,Uttar Pradesh,2015,3,2015Q3,3
Amethi,Uttar Pradesh,2015,4,2015Q4,4
Amethi,Uttar Pradesh,2016,1,2016Q1,5
Amethi,Uttar Pradesh,2016,2,2016Q2,6
Amethi,Uttar Pradesh,2016,3,2016Q3,7
Amethi,Uttar Pradesh,2016,4,2016Q4,8
Amethi,Uttar Pradesh,2017,1,2017Q1,9
Amethi,Uttar Pradesh,2017,2,2017Q2,10
Amethi,Uttar Pradesh,2017,3,2017Q3,11
Amethi,Uttar Pradesh,2017,4,2017Q4,12
Amethi,Uttar Pradesh,2018,1,2018Q1,13
Amethi,Uttar Pradesh,2018,2,2018Q2,14
Amethi,Uttar Pradesh,2018,3,2018Q3,15
Amethi,Uttar Pradesh,2018,4,2018Q4,16
Amethi,Uttar Pradesh,2019,1,2019Q1,17
Amethi,Uttar Pradesh,2019,2,2019Q2,18
Amethi,Uttar Pradesh,2019,3,2019Q3,19
Amethi,Uttar Pradesh,2019,4,2019Q4,20
Amethi,Uttar Pradesh,2020,1,2020Q1,21
Amethi,Uttar Pradesh,2020,2,2020Q2,22
Amethi,Uttar Pradesh,2020,3,2020Q3,23
Amethi,Uttar Pradesh,2020,4,2020Q4,24
Amethi,Uttar Pradesh,2021,1,2021Q1,25
Amethi,Uttar Pradesh,2021,2,2021Q2,26
Amethi,Uttar Pradesh,2021,3,2021Q3,27
Amethi,Uttar Pradesh,2021,4,2021Q4,28
Amethi,Uttar Pradesh,2022,1,2022Q1,29
Amethi,Uttar Pradesh,2022,2,2022Q2,30
Amethi,Uttar Pradesh,2022,3,2022Q3,31
Amethi,Uttar Pradesh,2022,4,2022Q4,32
Amethi,Uttar Pradesh,2023,1,2023Q1,33
Amethi,Uttar Pradesh,2023,2,2023Q2,34
Amethi,Uttar Pradesh,2023,3,2023Q3,35
Amethi,Uttar Pradesh,2023,4,2023Q4,36
Amethi,Uttar Pradesh,2024,1,2024Q1,37
Amethi,Uttar Pradesh,2024,2,2024Q2,38
Amethi,Uttar Pradesh,2024,3,2024Q3,39
Amethi,Uttar Pradesh,2024,4,2024Q4,40
Amroha,Uttar Pradesh,2015,1,2015Q1,1
Amroha,Uttar Pradesh,2015,2,2015Q2,2
Amroha,Uttar Pradesh,2015,3,2015Q3,3
Amroha,Uttar Pradesh,2015,4,2015Q4,4
Amroha,Uttar Pradesh,2016,1,2016Q1,5
Amroha,Uttar Pradesh,2016,2,2016Q2,6
Amroha,Uttar Pradesh,2016,3,2016Q3,7
Amroha,Uttar Pradesh,2016,4,2016Q4,8
Amroha,Uttar Pradesh,2017,1,2017Q1,9
Amroha,Uttar Pradesh,2017,2,2017Q2,10
Amroha,Uttar Pradesh,2017,3,2017Q3,11
Amroha,Uttar Pradesh,2017,4,2017Q4,12
Amroha,Uttar Pradesh,2018,1,2018Q1,13
Amroha,Uttar Pradesh,2018,2,2018Q2,14
Amroha,Uttar Pradesh,2018,3,2018Q3,15
Amroha,Uttar Pradesh,2018,4,2018Q4,16
Amroha,Uttar Pradesh,2019,1,2019Q1,17
Amroha,Uttar Pradesh,2019,2,2019Q2,18
Amroha,Uttar Pradesh,2019,3,2019Q3,19
Amroha,Uttar Pradesh,2019,4,2019Q4,20
Amroha,Uttar Pradesh,2020,1,2020Q1,21
Amroha,Uttar Pradesh,2020,2,2020Q2,22
Amroha,Uttar Pradesh,2020,3,2020Q3,23
Amroha,Uttar Pradesh,2020,4,2020Q4,24
Amroha,Uttar Pradesh,2021,1,2021Q1,25
Amroha,Uttar Pradesh,2021,2,2021Q2,26
Amroha,Uttar Pradesh,2021,3,2021Q3,27
Amroha,Uttar Pradesh,2021,4,2021Q4,28
Amroha,Uttar Pradesh,2022,1,2022Q1,29
Amroha,Uttar Pradesh,2022,2,2022Q2,30
Amroha,Uttar Pradesh,2022,3,2022Q3,31
Amroha,Uttar Pradesh,2022,4,2022Q4,32
Amroha,Uttar Pradesh,2023,1,2023Q1,33
Amroha,Uttar Pradesh,2023,2,2023Q2,34
Amroha,Uttar Pradesh,2023,3,2023Q3,35
Amroha,Uttar Pradesh,2023,4,2023Q4,36
Amroha,Uttar Pradesh,2024,1,2024Q1,37
Amroha,Uttar Pradesh,2024,2,2024Q2,38
Amroha,Uttar Pradesh,2024,3,2024Q3,39
Amroha,Uttar Pradesh,2024,4,2024Q4,40
Auraiya,Uttar Pradesh,2015,1,2015Q1,1
Auraiya,Uttar Pradesh,2015,2,2015Q2,2
Auraiya,Uttar Pradesh,2015,3,2015Q3,3
Auraiya,Uttar Pradesh,2015,4,2015Q4,4
Auraiya,Uttar Pradesh,2016,1,2016Q1,5
Auraiya,Uttar Pradesh,2016,2,2016Q2,6
Auraiya,Uttar Pradesh,2016,3,2016Q3,7
Auraiya,Uttar Pradesh,2016,4,2016Q4,8
Auraiya,Uttar Pradesh,2017,1,2017Q1,9
Auraiya,Uttar Pradesh,2017,2,2017Q2,10
Auraiya,Uttar Pradesh,2017,3,2017Q3,11
Auraiya,Uttar Pradesh,2017,4,2017Q4,12
Auraiya,Uttar Pradesh,2018,1,2018Q1,13
Auraiya,Uttar Pradesh,2018,2,2018Q2,14
Auraiya,Uttar Pradesh,2018,3,2018Q3,15
Auraiya,Uttar Pradesh,2018,4,2018Q4,16
Auraiya,Uttar Pradesh,2019,1,2019Q1,17
Auraiya,Uttar Pradesh,2019,2,2019Q2,18
Auraiya,Uttar Pradesh,2019,3,2019Q3,19
Auraiya,Uttar Pradesh,2019,4,2019Q4,20
Auraiya,Uttar Pradesh,2020,1,2020Q1,21
Auraiya,Uttar Pradesh,2020,2,2020Q2,22
Auraiya,Uttar Pradesh,2020,3,2020Q3,23
Auraiya,Uttar Pradesh,2020,4,2020Q4,24
Auraiya,Uttar Pradesh,2021,1,2021Q1,25
Auraiya,Uttar Pradesh,2021,2,2021Q2,26
Auraiya,Uttar Pradesh,2021,3,2021Q3,27
Auraiya,Uttar Pradesh,2021,4,2021Q4,28
Auraiya,Uttar Pradesh,2022,1,2022Q1,29
Auraiya,Uttar Pradesh,2022,2,2022Q2,30
Auraiya,Uttar Pradesh,2022,3,2022Q3,31
Auraiya,Uttar Pradesh,2022,4,2022Q4,32
